index,canton,sex,age,count,percentage,cases,fatalities,cases_pp,fatalities_pp
5080,GE,Female,32,3730,0.014619711133321575,39,0,0.010455764075067025,0.0
5081,GE,Female,33,3681,0.014427655946851668,49,0,0.013311600108666123,0.0
5082,GE,Female,34,3881,0.015211554667137006,49,0,0.012625611955681525,0.0
5083,GE,Female,35,3750,0.014698101005350109,54,0,0.0144,0.0
5084,GE,Female,36,3824,0.014988143531855683,41,0,0.010721757322175732,0.0
5085,GE,Female,37,3914,0.015340897955984086,51,0,0.013030148185998978,0.0
5086,GE,Female,38,3924,0.015380092891998353,56,0,0.014271151885830785,0.0
5087,GE,Female,39,3842,0.015058694416681364,48,0,0.012493492972410203,0.0
5088,GE,Female,40,3829,0.015007740999862818,54,0,0.01410289892922434,0.0
5089,GE,Female,41,3893,0.015258588590354127,50,0,0.012843565373747753,0.0
5090,GE,Female,42,3820,0.014972465557449978,52,0,0.013612565445026177,0.0
5091,GE,Female,43,3882,0.015215474160738433,56,0,0.014425553838227717,0.0
5092,GE,Female,44,3871,0.015172359731122739,59,0,0.015241539653836218,0.0
5093,GE,Female,45,3849,0.015086130871891352,62,0,0.01610808002078462,0.0
5094,GE,Female,46,3806,0.014917592647030005,54,0,0.01418812401471361,0.0
5095,GE,Female,47,3724,0.014596194171713015,73,0,0.019602577873254565,0.0
5096,GE,Female,48,3845,0.015070452897485645,52,0,0.01352405721716515,0.0
5097,GE,Female,49,3722,0.014588355184510161,62,0,0.016657710908113917,0.0
5098,GE,Female,50,3819,0.01496854606384855,51,0,0.01335428122545169,0.0
5099,GE,Female,51,3742,0.014666745056538696,57,0,0.015232495991448424,0.0
5100,GE,Female,52,3848,0.015082211378289925,50,0,0.012993762993762994,0.0
5101,GE,Female,53,3881,0.015211554667137006,55,0,0.014171605256377222,0.0
5102,GE,Female,54,4002,0.015685813392909635,62,1,0.015492253873063468,0.0002498750624687656
5103,GE,Female,55,3641,0.014270876202794599,75,0,0.020598736610821202,0.0
5104,GE,Female,56,3574,0.014008270131499011,59,0,0.01650811415780638,0.0
5105,GE,Female,57,3343,0.013102867109569444,43,1,0.012862698175291655,0.0002991325157044571
5106,GE,Female,58,3180,0.012463989652536893,39,0,0.012264150943396227,0.0
5107,GE,Female,59,3162,0.012393438767711212,59,0,0.01865907653383934,0.0
5108,GE,Female,60,2852,0.011178395751268937,33,0,0.011570827489481066,0.0
5109,GE,Female,61,2763,0.01082956082074196,42,0,0.01520086862106406,0.0
5110,GE,Female,62,2660,0.01042585297979501,29,2,0.010902255639097745,0.0007518796992481203
